case_id,customer_message,support_conversation,final_support_response,num_turns,num_customer_turns,num_support_turns,evidence_status
apple_1000115,@AppleSupport I’m continually getting the “Could Not Activate iPhone” message … any updates on when this will be working?,"CUSTOMER: @AppleSupport I’m continually getting the “Could Not Activate iPhone” message … any updates on when this will be working?
SUPPORT: @356778 Getting your new iPhone activated is a top priority. Let us know in DM which iPhone you're experiencing this issue with. https://t.co/GDrqU22YpT",@356778 Getting your new iPhone activated is a top priority. Let us know in DM which iPhone you're experiencing this issue with. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000152,I have the same question Kristi for AT&amp;T. It sounds like it might be an Apple issue. @117735 @AppleSupport https://t.co/UHM3RWZvFK,"CUSTOMER: I have the same question Kristi for AT&amp;T. It sounds like it might be an Apple issue. @117735 @AppleSupport https://t.co/UHM3RWZvFK
SUPPORT: @356787 Hi Martin! Plry activating your device again. If the issue persist, try these steps and DM the result: https://t.co/ywHIZGN4Ac https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport @AppleSupport, link not helpful - Issue was getting the Zip, SS# AT&amp;T verification- Is that Apple's Servers or AT&amp;T? #transparency #iphoneX","@356787 Hi Martin! Plry activating your device again. If the issue persist, try these steps and DM the result: https://t.co/ywHIZGN4Ac https://t.co/GDrqU22YpT",3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1000186,@115858 @AppleSupport  y’all need to fix this fr I️ shouldn’t be having this petty ass problem,"CUSTOMER: @115858 @AppleSupport  y’all need to fix this fr I️ shouldn’t be having this petty ass problem
SUPPORT: @356792 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT",@356792 Thanks for reaching out to us for support. We would love to help you. Please DM us so that we can look into this together. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000205,@115858 is buggy. My dock is gone on iOS 11 #Appleisdoomed https://t.co/l3tFt7DaPc,"CUSTOMER: @115858 is buggy. My dock is gone on iOS 11 #Appleisdoomed https://t.co/l3tFt7DaPc
SUPPORT: @356794 We're here for you. Send us a DM, and we'll take a look at this issue together. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport This thing happens frequently https://t.co/prS4nOiHSh
SUPPORT: @356794 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT",@356794 We'd like to look into this further. Please DM us to continue working on this. https://t.co/GDrqU22YpT,4,2,2,SUPPORT_RESPONSE_PRESENT
apple_1000208,"Seriously @115858 I LITERALLY have trouble doing anything on my 12 month old MacBook Air, transferring files, that'll be two crashes....","CUSTOMER: Seriously @115858 I LITERALLY have trouble doing anything on my 12 month old MacBook Air, transferring files, that'll be two crashes....
SUPPORT: @356795 We'd love to help with your Mac. Can you DM us the exact version of macOS running? https://t.co/GDrqU22YpT",@356795 We'd love to help with your Mac. Can you DM us the exact version of macOS running? https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000210,@AppleSupport are y’all going to fix the “I.T” thing?,"CUSTOMER: @AppleSupport are y’all going to fix the “I.T” thing?
SUPPORT: @356796 Thanks for reaching out! So we can provide you with the best steps, DM us which device and iOS version you're using. https://t.co/GDrqU22YpT","@356796 Thanks for reaching out! So we can provide you with the best steps, DM us which device and iOS version you're using. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000215,@AppleSupport Can you help with this?,"CUSTOMER: @AppleSupport Can you help with this?
SUPPORT: @356797 Yes, we can. Can you tell us which iOS version you are currently using please?
CUSTOMER: @AppleSupport 11.0.3
SUPPORT: @356797 Okay. Have you been having this issue since updating to iOS 11.0.3? DM us your response here: https://t.co/GDrqU22YpT",@356797 Okay. Have you been having this issue since updating to iOS 11.0.3? DM us your response here: https://t.co/GDrqU22YpT,4,2,2,SUPPORT_RESPONSE_PRESENT
apple_1000217,@AppleSupport my iPhone 7 isn't sending or receiving iMessages and I can't make or receive phone calls. Tried doing a reset multiple times,"CUSTOMER: @AppleSupport my iPhone 7 isn't sending or receiving iMessages and I can't make or receive phone calls. Tried doing a reset multiple times
SUPPORT: @356798 Thanks for reaching out today. We received your DM and we'll continue helping out from there.",@356798 Thanks for reaching out today. We received your DM and we'll continue helping out from there.,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000219,@AppleSupport any way to check overall battery health of my iPhone 7?,"CUSTOMER: @AppleSupport any way to check overall battery health of my iPhone 7?
SUPPORT: @356799 We appreciate you reaching out!  We've received your DM and will continue with you there.",@356799 We appreciate you reaching out!  We've received your DM and will continue with you there.,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000223,"Wth @115858, I've been clicking ""download &amp; install"" for almost a week now but the update doesn't want to start download. 🤔","CUSTOMER: Wth @115858, I've been clicking ""download &amp; install"" for almost a week now but the update doesn't want to start download. 🤔
SUPPORT: @356800 We'd be happy to help you get your apps updated. Have you tried another Wi-Fi network? Please DM us your device and version of OS: https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Apps weren't a problem, System update was. I was able to download &amp; install the system update via iTunes just after I sent the tweet.
SUPPORT: @356800 Got it. Thanks for clarifying! We're glad that it's all worked out. If you need anything else, just let us know. Have a great day.","@356800 Got it. Thanks for clarifying! We're glad that it's all worked out. If you need anything else, just let us know. Have a great day.",4,2,2,SUPPORT_RESPONSE_PRESENT
apple_1000225,I need @115858 to fix this fucking issue 👉🏼 I️,"CUSTOMER: I need @115858 to fix this fucking issue 👉🏼 I️
SUPPORT: @356801 Let's help you get this addressed. Meet up with us in DM at the link below. Tell us your iOS version there please. https://t.co/GDrqU22YpT",@356801 Let's help you get this addressed. Meet up with us in DM at the link below. Tell us your iOS version there please. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000229,@AppleSupport Please. Let the people in charge of the updates to fix the battery issue. Last two iOS updates worsen the battery life.,"CUSTOMER: @AppleSupport Please. Let the people in charge of the updates to fix the battery issue. Last two iOS updates worsen the battery life.
SUPPORT: @356802 We'd like to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT",@356802 We'd like to help. Send us a DM and we can start there. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1000235,@AppleSupport updated my phone the other day and it keeps freezing so I have to restart it. Then it’s really slow. Sort it out.,"CUSTOMER: @AppleSupport updated my phone the other day and it keeps freezing so I have to restart it. Then it’s really slow. Sort it out.
SUPPORT: @356803 Thanks for reaching out to us. We want to help. What's your exact iOS version? Check here: https://t.co/ZTw54HL4Rm
CUSTOMER: @AppleSupport 11.0.3
SUPPORT: @356803 Glad to see you're up to date. Does the unresponsiveness happen when using certain apps, or system-wide?
CUSTOMER: @AppleSupport All apps. I’ve restarted my phone 6 times today. On twitter, Facebook, snapchat and messages etc
SUPPORT: @356803 Got it, thanks! So we can provide you with the next best options, reach out to us in DM and we'll continue from there. https://t.co/GDrqU22YpT","@356803 Got it, thanks! So we can provide you with the next best options, reach out to us in DM and we'll continue from there. https://t.co/GDrqU22YpT",6,3,3,SUPPORT_RESPONSE_PRESENT
apple_1001114,"@AppleSupport after updating to iOS 11.0.3, my iPhone 7 will randomly freeze on any app/screen. The buttons won’t even work","CUSTOMER: @AppleSupport after updating to iOS 11.0.3, my iPhone 7 will randomly freeze on any app/screen. The buttons won’t even work
SUPPORT: @357005 We'd like to look into appropriate options for your region. DM your current location. https://t.co/GDrqU22YpT
CUSTOMER: @357005 @AppleSupport Had that problem too, lemme know the remedy
SUPPORT: @566132 We'd be happy to take a look!  Let us know in DM what model iPhone and what country you're in and we'll go from there: https://t.co/GDrqU22YpT",@566132 We'd be happy to take a look!  Let us know in DM what model iPhone and what country you're in and we'll go from there: https://t.co/GDrqU22YpT,4,2,2,SUPPORT_RESPONSE_PRESENT
apple_1001117,"@AppleSupport 8,000 pictures lost and your help time can’t help.. 😡😡😡","CUSTOMER: @AppleSupport 8,000 pictures lost and your help time can’t help.. 😡😡😡
SUPPORT: @357006 We'd be happy to look into this with you! Which device are you using?",@357006 We'd be happy to look into this with you! Which device are you using?,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001119,"The new iPhone update is a giant dumpster fire that will ruin your phone. It updated while I was sleeping, I didn’t ask for this 😤 @115858","CUSTOMER: The new iPhone update is a giant dumpster fire that will ruin your phone. It updated while I was sleeping, I didn’t ask for this 😤 @115858
SUPPORT: @357007 We want to help with any issues that you're having on your iPhone. Send us a DM, and we'll get started. https://t.co/GDrqU22YpT","@357007 We want to help with any issues that you're having on your iPhone. Send us a DM, and we'll get started. https://t.co/GDrqU22YpT",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001123,@AppleSupport where is personal hotspot in iPhone 7? https://t.co/qh3l74Q2Sl,"CUSTOMER: @AppleSupport where is personal hotspot in iPhone 7? https://t.co/qh3l74Q2Sl
SUPPORT: @357008 Good question. We'd recommend checking with you carrier to make sure they support that feature: https://t.co/BpXde6g2r7
CUSTOMER: @AppleSupport Hotspot is related to carrier? Thats something new.
CUSTOMER: @AppleSupport My carrier BSNL allows hotspot. Please tell me what should I do now?
SUPPORT: @357008 DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport Pls check DM",@357008 DM the country or region where you are currently located to continue. https://t.co/GDrqU22YpT,6,4,2,SUPPORT_RESPONSE_PRESENT
apple_1001128,"@AppleSupport my mother received this phishing text message a few days ago. I assume you’re aware of the scam, but the website obviously needs to be stopped. https://t.co/u2pP8gTJ8I","CUSTOMER: @AppleSupport my mother received this phishing text message a few days ago. I assume you’re aware of the scam, but the website obviously needs to be stopped. https://t.co/u2pP8gTJ8I
SUPPORT: @357009 Thanks for bringing it to our attention. Take a look at this article for more info on reporting: https://t.co/LNMCdqt6fD
CUSTOMER: @AppleSupport Already been on there and couldn’t see how to report - that’s why I tweeted you. Cheers anyway lads 😘",@357009 Thanks for bringing it to our attention. Take a look at this article for more info on reporting: https://t.co/LNMCdqt6fD,3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1001130,"@AppleSupport my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive &amp; screen locks!!","CUSTOMER: @AppleSupport my iPhone 7 Plus doesn’t work properly with 11.0.3 😡😡. The speaker doesn’t work on calls, is non responsive &amp; screen locks!!
SUPPORT: @357010 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT",@357010 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001132,@AppleSupport IOS update is a total disaster / phone freezing constantly .... battery draining faster than before.,"CUSTOMER: @AppleSupport IOS update is a total disaster / phone freezing constantly .... battery draining faster than before.
SUPPORT: @357011 We'd be happy to take a deeper look with you to get you up and running again. Please send us a DM. https://t.co/GDrqU22YpT",@357011 We'd be happy to take a deeper look with you to get you up and running again. Please send us a DM. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001134,@115858 if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯,"CUSTOMER: @115858 if my screen say poor connection does that mean my wifi is messed up or theres? cause i tired of having this argument erry night 😭💯
SUPPORT: @357012 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT",@357012 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001136,Ojalá @115858 @AppleSupport saque una actualización donde la caga De celular pare de pegarse 😠,"CUSTOMER: Ojalá @115858 @AppleSupport saque una actualización donde la caga De celular pare de pegarse 😠
SUPPORT: @357013 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs",@357013 We offer support via Twitter in English. Get help in Spanish here: https://t.co/IBIY3vMgPj or join https://t.co/OczyRx7IOs,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001141,"@AppleSupport @115948  I preordered an entire album, it's out but my phone is only allowing me to listen to a few of the songs https://t.co/KAYWne4wZF","CUSTOMER: @AppleSupport @115948  I preordered an entire album, it's out but my phone is only allowing me to listen to a few of the songs https://t.co/KAYWne4wZF
SUPPORT: @357015 Thanks for reaching out!  We've received your DM and will continue with you there.",@357015 Thanks for reaching out!  We've received your DM and will continue with you there.,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001145,@AppleSupport I can’t update or download any apps... when I go to download it just does that flashing circle thing.,"CUSTOMER: @AppleSupport I can’t update or download any apps... when I go to download it just does that flashing circle thing.
SUPPORT: @357016 Thanks for reaching out, we're happy to help. What version number of iOS are you on? Also, have you restarted your device?
CUSTOMER: @AppleSupport Turning it off worked thanks","@357016 Thanks for reaching out, we're happy to help. What version number of iOS are you on? Also, have you restarted your device?",3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1001147,"These iOS updates have fucked my phone, never buying from @115858 again","CUSTOMER: These iOS updates have fucked my phone, never buying from @115858 again
SUPPORT: @357017 We'd like to know more about the issue you're experiencing. Join us in DM to get started: https://t.co/GDrqU22YpT",@357017 We'd like to know more about the issue you're experiencing. Join us in DM to get started: https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001152,Well ios11 is a swarm of bugs. I literally was stranded in a foreign country because my battery suddenly died. @AppleSupport,"CUSTOMER: Well ios11 is a swarm of bugs. I literally was stranded in a foreign country because my battery suddenly died. @AppleSupport
SUPPORT: @357018 We’d like to learn more about your experience. Please meet us in DM to continue. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport The battery dies in seconds. I’ve contacted my company IT department and they stated it is a known 11.3 issue.
SUPPORT: @357018 Please send us a DM to continue. We’d like to learn more about your experience. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport This is fine, like I said my IT Department is aware and they will take it from here. Very disappointed with Apple’s handling of this.",@357018 Please send us a DM to continue. We’d like to learn more about your experience. https://t.co/GDrqU22YpT,5,3,2,SUPPORT_RESPONSE_PRESENT
apple_1001160,"@AppleSupport Hi, Will 3rd party Bluetooth Ear Phones / Head Phones Works with Apple Watch ⌚️?","CUSTOMER: @AppleSupport Hi, Will 3rd party Bluetooth Ear Phones / Head Phones Works with Apple Watch ⌚️?
CUSTOMER: @AppleSupport Any Reply?
SUPPORT: @296334 Yes, you can use compatible third-party Bluetooth headphones with your Apple Watch. Read more here: https://t.co/HcGr7FXkSp
CUSTOMER: @AppleSupport Thanks
CUSTOMER: @AppleSupport Hi, there is one issue with my iphone 7 ios 11.0.3. I am not getting Whatsapp notifications. Why it so? Is it Whatsapp issue/ ios 11.0.3?
SUPPORT: @296334 Are you having this issue with this app only?
CUSTOMER: @AppleSupport Yes
SUPPORT: @296334 Okay. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT",@296334 Okay. Join us in DM so we can better assist you: https://t.co/GDrqU22YpT,8,5,3,SUPPORT_RESPONSE_PRESENT
apple_1001166,@115858 this new phone software is making my phone slow and glitchy!  Not impressed!,"CUSTOMER: @115858 this new phone software is making my phone slow and glitchy!  Not impressed!
SUPPORT: @357019 We want your iPhone working great. We're happy to help. DM us your model iPhone,  iOS 11 version installed, &amp; we'll get started. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport It’s iPhone 6+ and it’s the latest software update.  Thanks
SUPPORT: @357019 Great. Let's move on over to DM so we can take a deeper look into this with you. Join us here: https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport @357019 Older model iPhones have always slowed down with big software upgrades ! They design the upgrade based on the new models capabilities.
SUPPORT: @357020 We look forward to hearing about your experience in DM. We want to learn more about the changes you've seen there. https://t.co/GDrqU22YpT",@357020 We look forward to hearing about your experience in DM. We want to learn more about the changes you've seen there. https://t.co/GDrqU22YpT,6,3,3,SUPPORT_RESPONSE_PRESENT
apple_1001168,Sull’iPhone avevo più di 8gb di “altro” e l’unico modo per eliminarlo è backup+ripristino. @115858 vogliamo fare qualcosa a riguardo?,"CUSTOMER: Sull’iPhone avevo più di 8gb di “altro” e l’unico modo per eliminarlo è backup+ripristino. @115858 vogliamo fare qualcosa a riguardo?
SUPPORT: @357021 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj",@357021 We offer support via Twitter in English. Contact us for help in your preferred language here: https://t.co/IBIY3vMgPj,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001171,"@AppleSupport ios 11.0.3 tons of bugs on my iphone 5s, battery drains while charging, no clock or date on lock screen, visual artifacts","CUSTOMER: @AppleSupport ios 11.0.3 tons of bugs on my iphone 5s, battery drains while charging, no clock or date on lock screen, visual artifacts
SUPPORT: @357023 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT",@357023 Thanks for reaching out. We're here to help. DM us so we can look into this further with you. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001174,@188 app is constantly crashing on #iOS11 @AppleSupport @115858 Haptic feedback is still not working even in 11.0.3 on my 7Plus #apple,"CUSTOMER: @188 app is constantly crashing on #iOS11 @AppleSupport @115858 Haptic feedback is still not working even in 11.0.3 on my 7Plus #apple
SUPPORT: @357024 Let us help you get this sorted out. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport I have already send my diagnosis reports in past but nothing seems to working with this iOS 11.0.3 update. Each day 7Plus getting slower",@357024 Let us help you get this sorted out. Join us in DM so we may better assist you: https://t.co/GDrqU22YpT,3,2,1,SUPPORT_RESPONSE_PRESENT
apple_1001176,"@115858 @118721  as u can tell I feel very burned!   I’m shocked!  I expected better from y’all !  WTH so upset, going to tell everyone!","CUSTOMER: @115858 @118721  as u can tell I feel very burned!   I’m shocked!  I expected better from y’all !  WTH so upset, going to tell everyone!
SUPPORT: @357025 We're here to help. DM us more information: https://t.co/GDrqU22YpT",@357025 We're here to help. DM us more information: https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001178,"So the new #ios update has not been pleasant for me, FFS! ugh!!!!  @115858 #iphone7plus #iphone","CUSTOMER: So the new #ios update has not been pleasant for me, FFS! ugh!!!!  @115858 #iphone7plus #iphone
SUPPORT: @357026 We've got your back! What kind of issues are you having with the update on your iPhone?",@357026 We've got your back! What kind of issues are you having with the update on your iPhone?,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001180,@AppleSupport enfia no cu essa atualização maldita que fica ligando o Wi-Fi sozinho,"CUSTOMER: @AppleSupport enfia no cu essa atualização maldita que fica ligando o Wi-Fi sozinho
SUPPORT: @357027 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt","@357027 Since our Twitter support is available in English, get help at https://t.co/IBIY3vMgPj or join https://t.co/pvaOFfPbjt",2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001189,@115858 why am I unable to use fingerprint access after the latest update,"CUSTOMER: @115858 why am I unable to use fingerprint access after the latest update
SUPPORT: @357029 You should be able to! Let's work on that. Try the steps in the article and DM us if the issue continues: https://t.co/vP1pBZhZw1 https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport @357029 Battery draining fast on ios 11.0.3 6s plus. Please apple signed ios 10.3.3 so that i can go back.
CUSTOMER: @AppleSupport @357029 Ever since the new update its FUCKED my phone. Constantly freezing. Who do i get in touch with cause its ridiculous!!!!!
SUPPORT: @357028 Hello. We'd like to help. DM us and we can take a closer look there. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport I want to go back to ios 10.3.3 as I am facing battery and lag issue on my 6s plus
SUPPORT: @357028 We're happy to take a closer look at your issues in DM. You can use the following link to meet us there. https://t.co/GDrqU22YpT
CUSTOMER: @AppleSupport What should I do?
SUPPORT: @357028 We'd be happy to look into your battery concerns with you. Send us a DM using the link below and we'll go from there. https://t.co/GDrqU22YpT",@357028 We'd be happy to look into your battery concerns with you. Send us a DM using the link below and we'll go from there. https://t.co/GDrqU22YpT,9,5,4,SUPPORT_RESPONSE_PRESENT
apple_1001191,I thought we was going to have Apple Pay in iMessages 🤔🤔🤔 @AppleSupport Explain... https://t.co/SPPDhjPG7d,"CUSTOMER: I thought we was going to have Apple Pay in iMessages 🤔🤔🤔 @AppleSupport Explain... https://t.co/SPPDhjPG7d
SUPPORT: @354155 Thanks for reaching out. We encourage you to encourage you to stay up to date and check this out:  https://t.co/uHrOd2X7XG",@354155 Thanks for reaching out. We encourage you to encourage you to stay up to date and check this out:  https://t.co/uHrOd2X7XG,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001221,"@AppleSupport I close my MacBook Pro at night,but I found that it would automatically shut down. What happened?","CUSTOMER: @AppleSupport I close my MacBook Pro at night,but I found that it would automatically shut down. What happened?
SUPPORT: @357035 We'd like to take a closer look at what's going on. DM us with your current macOS version to get started. https://t.co/GDrqU22YpT",@357035 We'd like to take a closer look at what's going on. DM us with your current macOS version to get started. https://t.co/GDrqU22YpT,2,1,1,SUPPORT_RESPONSE_PRESENT
apple_1001225,@AppleSupport Bluetooth suddenly turns off automatically while streaming on wireless speaker on iPhone 8 plus. Happens several time.,"CUSTOMER: @AppleSupport Bluetooth suddenly turns off automatically while streaming on wireless speaker on iPhone 8 plus. Happens several time.
SUPPORT: @357036 We want to ensure you're able to stay connected to Bluetooth. What iOS version is your iPhone on?
CUSTOMER: @AppleSupport iOS 11.0.3
CUSTOMER: @AppleSupport And it is only one week old phone
SUPPORT: @357036 When this occurs, is Bluetooth completely turning off on either device or is it just disconnecting?
CUSTOMER: @AppleSupport On iPhone Bluetooth turns off and immediately turns on automatically and try’s to reconnect with speaker.
CUSTOMER: @AppleSupport Before this Bluetooth connection starts to flicker
SUPPORT: @357036 Let's go ahead and continue over in Direct Message and we'll look further into Bluetooth with you. https://t.co/GDrqU22YpT",@357036 Let's go ahead and continue over in Direct Message and we'll look further into Bluetooth with you. https://t.co/GDrqU22YpT,8,5,3,SUPPORT_RESPONSE_PRESENT
apple_1001234,@43936 @115858 Ever since the update my phone can't even last the whole day with one charge. Ticks me right off.,"CUSTOMER: @43936 @115858 Ever since the update my phone can't even last the whole day with one charge. Ticks me right off.
SUPPORT: @357037 This is not the experience we want you to have. Which iPhone model do you own?
CUSTOMER: @AppleSupport I have the iPhone 6s +
SUPPORT: @357037 To confirm, are you currently running the latest version of iOS 11, 11.0.3? Let us know via DM. We'll go from there. https://t.co/GDrqU22YpT","@357037 To confirm, are you currently running the latest version of iOS 11, 11.0.3? Let us know via DM. We'll go from there. https://t.co/GDrqU22YpT",4,2,2,SUPPORT_RESPONSE_PRESENT
