case_id,customer_message,cluster_id
apple_1984436,"@AppleSupport Apple TV, iPhones won't connect 2 wifi.  But PC will connect and can stream.  Rebooted router, devices, still no change. Help!",3
apple_1599712,@AppleSupport I have a folder in mail on iOS that won’t go away. Looks like an iOS 11.1 bug.,4
apple_761304,"@AppleSupport how do I transfer all my pictures and videos to my new iPhone, everything else has transferred fine apart from them.",7
apple_2291583,"@AppleSupport whevetr i turn on accessibility settings like speak screen or zoom feature, the iOS response goes for a toss.  Plz connect me to your accessibilty team",4
apple_306215,Really enjoy my #iPhone freezing every other day after last #Apple update 😠😠 @115858 @1714,1
apple_2949623,"@115858 and @AppleSupport are you aware of the MacOS High Sierra vulnerability that enables root access without a password when guest account is enabled? Any ETA for a fix?

https://t.co/O8F5oZjr1E",3
apple_2001541,Wowwww all my Apple Watch data is gone and I'm really ready to fight @115858 this is on top of the immense amount of fuckups lately,3
apple_246553,@AppleSupport Why? My Series 0 never had any issues on the latest #watchOS4 version 🤔 What’s different with the Series 3 watch? https://t.co/ANqvC6rFXE,3
apple_2052388,"@AppleSupport Trying to install IOS 11, but message showing 10.3.3 up to date. Tried everything. PS: I have no profile under general setting",4
apple_2948316,"Seriously what the fuck, why am I forbidden to use WiFi &amp; Bluetooth @AppleSupport https://t.co/Fw6o9ei2Rv",9
apple_1121703,BEWARE SOME FUCKERS ARE HACKING APPLE ID ACCOUNTS!!!! THEY JUST STOLE $35 FROM ME! @115858 @AppleSupport,8
apple_1702088,@AppleSupport can you hurry up and fix this so I️ can stop with the mystery boxes???,5
apple_395550,"@AppleSupport needs to fix the latest iOS version, because why haven’t I been able to delete multiple emails at once since the update",1
apple_1454570,"Ayfonkarahisar or AfyonKarahisar? @AppleSupport right place, wrong title https://t.co/S1FvPJ8lya",2
apple_2000542,hi @AppleSupport i️ i️ i️ i️ i️ i️,2
apple_1725278,👁 am sick of the games @115858 get your shit together,2
apple_1522064,@AppleSupport it seems the new OS doesn’t work with podcasts and the Ford sync system. @62565 Any patches in the works?,6
apple_2410409,@AppleSupport My phone isn’t on Do Not Disturb and I still don’t receive notifications for text messages. Why is that? 🤔,9
apple_628014,"I didn’t knew apple comes with so much of issues,
I should have bought oneplus or Nokia instead of ip7 @115858 @AppleSupport",7
apple_629768,"@115858 Why will you not fix the Podcasts app? I have doubles of every podcast showing up in my feed, what is the point of syncing with iTunes if it is going to duplicate and then delete itself from my feed?",6
apple_2972521,Is I️t just me or does every single @115858 iPhone just stop working right when the new ones come out ?,7
apple_1022597,"@AppleSupport hey, i just updated my iPhone 6s with the new iOS 11.0.3 and Twitter won't work unless i use Wifi !!",4
apple_2123845,@AppleSupport how can I know if iPhone X is available for viewing at my nearest Apple store?,8
apple_2622743,"@AppleSupport My iphone 6s got wet, now the screen keeps going on and off without being touched, and going white with the black apple logo. Any advice?",7
apple_1756371,This box is killing me 😂 y’all  @115858 need to fix at update,5
apple_1639223,So y’all just no gonna fix the “A?” issue @115858 ?? I️ know cuz I️ got a 7 y’all don’t care,5
apple_1174801,"@AppleSupport Hi, received an email from this account is it from you?

__email__",2
apple_188460,@116333 @119462 @115858 @AppleSupport can you guys please fix 3d touch lag on ios 11 https://t.co/7SENCK6n2t,4
apple_1770364,@AppleSupport my FaceTime has completely disappeared from my phone. But that App Store says i have it...,8
apple_2146608,.@115858 seriously what the heck is this I️I️ all about???? #FixTheBug Signed an annoyed iPhone user...  I️I️ I️ I️ I️,7
apple_359264,"@AppleSupport Yes. So, the blue ‘A’ icon, or whatever symbol it is, is now the store..?  Ok, thank you. https://t.co/cvc40lcmkG",8
apple_1704035,@applesupport please fix this I️ thing it’s literally a nightmare,5
apple_2142411,i got the 8 so why my phone doing this question mark shit @115858 y’all fake,9
apple_1950744,"iPhone 8
Great speed, perfect touch sensitivity and better look but poor battery",11
apple_854577,@AppleSupport what is this?! https://t.co/hBABT4DC2D,2
apple_1298541,@AppleSupport Newly purchased Apogee Jam 96K not working with iPad Pro with IOS 11. Any fixes?,4
apple_1640716,Wow hate the stupid question mark. It ruins everything @115858,5
apple_9838,@AppleSupport updating xcode via appstore. 7-min remaining 6-hr ago. 1-min rem for over an hour. Why? My net bandwidth is good.,1
apple_1582155,@115858 @AppleSupport when can i make videos my lock screen? https://t.co/Gg8oRQb3Jz,3
apple_1329291,"@AppleSupport my 2013 iMac 27"" is getting lots of Burn-In/Image Retention issues with my screen. If its defective can I bring it in?",3
apple_1599068,@AppleSupport okay the swipe down from right hand corner on #iPhoneX to access #ControlCenter is really clunky. PLEASE change it!,7
apple_2000718,Ok @115858 need to fix all these fuckin bugs. Can’t type without question marks and shit coming up,5
apple_1921443,@AppleSupport  I bought my wife iPhone8+ for birthday &amp; she is forced to return; crackling audio on phone calls &amp; broken auto-lock feature.,7
apple_2343652,My iphone 7 is frozen like this for the last 2 hours i tried to force rest and still not working.. i think @115858 really dont want us to use their phones no more @AppleSupport https://t.co/DQbcQpDAzZ,7
apple_1959149,My phone keeps acting up and I don’t live near an Apple store so huge shout out to @115858 y’all are the worst,9
apple_2137269,"How is it that @115858, a multibillion dollar company, can’t fix the problem with the letter “I️” (The letter after H in the alphabet)",10
apple_2892112,@115858 your iPhone update made my alarm not go off and I overslept. 😤,1
apple_1679961,ok @115858 can you fucking not with the i️ shit https://t.co/WpnqVeg0dr,2
apple_1261263,@AppleSupport @115858 @119459 NOBODY listens to my claim since the cover as the mophie did not arrive I need an urgent response(part2),2
apple_2476077,@AppleSupport beta program ruined my phone &amp; battery. Thx,9
apple_807908,@AppleSupport iTunes Radio is not working after the second update,6
apple_521327,@AppleSupport I really hope the next iOS updates allows parents to approve apps with Face ID.,8
apple_1008527,@AppleSupport why are you guys charging me for an app that i cancelled the subscription for,8
apple_745130,@115858 PLEASE fix your NEW update. Incredibly frustrating. Phone freezing regularly and load times are SLOW! #FrustratedCustomer #Help,1
apple_688919,@AppleSupport why does my WiFi keep turning itself on? iOS 11 glitch?,4
apple_2401247,"@115858 Ios 11 is so fucking buggy, it made o phone shit",4
apple_1526958,I have all the new emoji’s so why are some still appearing as question marks @AppleSupport?,10
apple_1647798,@115858 fix these goddamn I️,5
apple_1679188,@AppleSupport why is my iPhone completely unresponsive to touch and the power/lock button only locks the phone? Any ideas?,7
apple_1420116,@AppleSupport my iPhone 7 has started getting really hot and losing loads is battery. Shall I take it to the store??,7
apple_2170692,"@AppleSupport iam from indonesia, how to contact your support team? I have some issues bout apple id.. thx",8
apple_243056,my new iphone 8 wont deliver texts to people without iphones?? @AppleSupport help??,7
apple_2177204,Yo @115858 fix apple music the shit dont play album in the correct order its annoying send an update pronto https://t.co/ST0hgrxxsL,6
apple_370168,I updated my Mac and I see boxes 🙁 @115858 fix this!!,3
apple_1726157,"I swear on my life, I didn’t press anything except the record button &amp; cancel. wtf is happening with my phone. @115858 get your shit together https://t.co/OV6labtSmx",9
apple_285196,help my iphone doesn't pick up my earphones when i plug them in it continues to play the music out loud @AppleSupport,6
apple_2041265,"@AppleSupport my mail's taking up so much space, I tried to remove my acc and it didn't help (cont)",2
apple_493600,Proofreading @232675 @AppleSupport https://t.co/06gFy6vCVm,2
apple_2712587,"Switches are the other way round for New Zealanders @116333 - On = Down, Off = Up.  #justsaying #homekit #homeautomation #homeapp @115858 https://t.co/ocC6fzrg4O",2
apple_1984643,@AppleSupport can you answer a question for me? My mum has an iPhone 5c running iOS 10.3.3 and she’s getting iPhone SE would the iPhone 5c -,7
apple_1287658,"@AppleSupport : Am I the only one in the world having this issue? Mail fails to send on WiFi and VPN, but works when on LTE. https://t.co/OoCmv1kbA5",9
apple_1185823,"@AppleSupport i haven't been able to install IOS11 at all, been trying for months. I've got enough space on my phone, I've tried everything😔 https://t.co/QbEWxv9AvL",4
apple_1507025,@AppleSupport con la última actualización falla mucho la cámara y constantemente se traba mi #iPhone7 😭,0
apple_906642,"@AppleSupport, so.. can y'all fix the fact that I can no longer use my Watch to play music from my phone instead of syncing? #WatchOS4 😕",6
apple_2078064,ios11 is fucking HORRIBLE,4
apple_58832,Did @115858 remove #voicemail transcription in iOS 11? It was so useful. I can't seem to get it to appear again. Anyone know how to fix it?,4
apple_1286454,@AppleSupport Hello. When will you have iPhone X models on display at the Apple store?,8
apple_2787914,"@115911 @TMobileHelp @AppleSupport @115858 I’ve had this phone for two months and it’s worked fine but now it won’t read my sim and keeps saying phone not allowed, what does that mean? https://t.co/16LOu4Qtvr",9
apple_2249990,@AppleSupport my battery life on my phone has been trash since the new update. When will this improve? Or do I need a new battery?,11
apple_337464,"@115858 tried updating my SE. Failed, had to restore, then reinstall a backup and now, I got a expensive brick that doesn't t install apps",1
apple_1993443,@115858 @2531 what’s up with this automatic error that keeps happening when typing certain letters,10
apple_401634,@AppleSupport I just got my iPhone 7 and then you guys come out with the 8 and my battery all the sudden is messed up? #HookItUp,7
apple_744268,"@AppleSupport there are a lot of issues after the ios 11 update, when will they be solved? Most important the fast battery drop,Very enoying",4
apple_1531329,So @115858 deleted all of my music downloaded to my phone (Via iMac) and is now tryna charge me $25 a year to listen to my own music? Crazy,6
apple_2077352,"Once @115858 iOS 11 launched..My Apple Watch doesn’t display the name of my contact, only the phone number. #Help #Annoyed",4
apple_1718257,Had to fix my own “I” since @115858 @AppleSupport wouldn’t make another iOS update to fix it..,10
apple_875141,Why isn’t my phone gps working @AppleSupport,9
apple_2349329,@AppleSupport I’m having trouble sending a link to someone via Messenges. Tried several times and it keeps sending it as unclickable text. Any suggestions?,5
apple_851264,"@115858 @AppleSupport now allow stupid Apps to charge my acc without my permission, Wat kind of world class security are you providing ?",8
apple_2558683,Hi @115858 can you incorporate a feature that allows you to ignore calls whiles enabling you to work on your phone at the same time? This feature is long overdue,9
apple_925542,"@AppleSupport 
i just bought iphone 8 256 GB and i can’t download apps 💔💔💔 i checked internet connection and date and time ): plz help https://t.co/nhOMICbqhB",7
apple_1181711,My @AppleSupport phone keeps saying cleaning don’t know wat that means can I turn it off,9
apple_2014183,Lolol I didn't even go out last night #LameAf,2
apple_1936730,"Ios 11 software included many errors. Now with 11.0.3, whatsapp messages has not received. @115858",4
apple_2106385,@AppleSupport keep getting this when trying to update. I am connected and can access internet. Even tried LTE. Restarted too. https://t.co/Sxpf9HPjCM,1
apple_658051,@AppleSupport is there a way to block phone calls from numbers that are not in my contacts?  Or at least make them silent or go straight to voicemail?,2
apple_462041,The largest market cap company in the world and 16 minutes and counting on hold for $AAPL care.  Pitiful @116333,2
apple_1763779,Why isn’t there a fix to this “I” problem yet? What’s taking so long? I’m sick of androidians tryna come for me. @115858,10
apple_1813974,@115858 congratulations on releasing an update which drains the battery on the iPhone 6s+ defo considering going non-Apple for my next Phone,11
apple_1633573,I HATE THIS NEW UPDATE MY PHONE IS GOING INSANE AND IS POSSESSED! That emergency 911 whatever shit just went off while I was sound tf asleep,1
apple_1868504,@AppleSupport also having issues w sound alerts not coming through if the phone is locked #ios1103,4
apple_1993607,@115858 @AppleSupport ......please fix the “I️” on the keyboard! Ugh 😡👎🏾,10
apple_2279552,what phone did they test this ios update on?? fuck you @116333,1
apple_222964,@AppleSupport Your new IOS11 update is killing battery life... I spend more time charging my phone than actually using it. FIX YOUR SHIT.,11
apple_2835862,@AppleSupport am I able to cancel this? I not sure why but I can’t cancel it https://t.co/np3A52ISK6,8
apple_287453,Dear @115858 iOS 11 is fucked up. I cant merge calls for group conversation. Shit!,4
apple_563075,@AppleSupport how do I get rid of this I.T autocorrect disaster??? Plz help,10
apple_1082991,"@AppleSupport Hey there,i've got problem w/ my iphone 6 It says searching, even if I remove the simcard
Please help, i use my phone at work",7
apple_2439695,@115858 y’all need a horrible job with this new update. My phone keeps crashing and freezing. Do better!,1
apple_1640885,Hey @AppleSupport why the hell does it take over 2 weeks to do a simple password change?,8
apple_210559,@AppleSupport please can you stop my phone from being glitchy 😭 stupid IOS update,1
apple_1815184,"@AppleSupport I lost my phone and I need the IMEI number but I can't access to my appleid, help!",8
apple_304053,"C'mon, @115858. It has been over two weeks of having to do a two-button reboot 12-20 times/day due to iOS 11 crashing... ETA on fix??",4
apple_1012677,yo @115948  tf happened to the best album ever i wanna listen to it why wont u let me https://t.co/5hnlYeyJbz,2
apple_1617215,"Welp, got the #hijabi emoji #Alhamdulillah but I guess not everyone can see it? 🧕🏻🤦🏻‍♀️ @115858 why can’t non-updated &amp; Android users see it?",2
apple_1469782,@AppleSupport my ip6 keep restarting since I updated to ios 11.0.2. HELP,4
apple_346994,"Dear @115858, I still don't understand the headphone insert being the charger insert. Im trying to listen to music but my phones dying... 😐",6
apple_1231336,"@AppleSupport when I receive an email on 8plus and I swipe down and select trash, nothing happens. Email stays in the inbox. Works on iPad.",8
apple_2622713,Hi @AppleSupport how do I find photos with unknown faces in High Sierra Photos?,3
apple_2018869,I️ @115858 fix this ishhh,5
apple_2284092,Is @115858 going to fix this I️ shit???,5
apple_1734988,@AppleSupport How do I️ make my letter that comes after H stop showing up as “! ?”,10
apple_1482989,@115858 y’all need to fix y’all shit got me sending unnecessary symbols 🤦🏽‍♂️😐,5
apple_633797,iOS 11.1.2 broken search on iPhone 7 Plus. Please fix it @AppleSupport,4
apple_2419268,Can battery be like 100% all the time? @115858 fix this please.,11
apple_2414326,@AppleSupport is the HomePod still coming this December?,8
apple_2585637,How can I officially complain with Apple about the iOS 11? It’s seriously the worst thing that has ever happpened to my iPhone... @AppleSupport,4
apple_1760185,@AppleSupport hey guys can't seem to down load the latest iOS 11.1 update. You guys having busy servers?!,4
apple_2953843,@AppleSupport what’s this mean please? Thanks #applegeeks #iPad #help https://t.co/28kLVpinFW,3
apple_2803476,"@AppleSupport hi, since the iOS 11 release my phone lags to open apps and is slow?? Is there another update coming out to fix this??",4
apple_2793208,"@AppleSupport the fuck. Your latest iOS update has turned my phone into a stuttering, glitchy, stupid bitch. How about instead of releasing new phones all the fucking time, you focus on not killing previous models with your ugly ass iOS updates.",1
apple_1852293,My phone has been freezing so much lately I’m angry. @115858,9
apple_2069902,@AppleSupport when are you going to fix iOS 11 so it doesn’t drain my iPhone 6 battery in 4 hours. Tried everything. Horrendously awful,11
apple_2580572,"@115858 my 3 month old MacBook hard drive has failed - any explanation to why this £1,200 product has already failed #wasteofmoney",3
apple_2117133,Hey @AppleSupport can y’all please fix the glitch,5
apple_1147969,".@AppleSupport cc has an authentication issue, I am looking into it. But, why can’t I download free apps in the meantime?",8
apple_1757748,I️ I️ I️ I️ I️ I️ I️ hate this freaking update @AppleSupport,10
apple_2031607,#iPhoneX - Can't even launch messenger since #iOS11 update My #6s + is literally useless But #harvard study proves @115858 plans it this way,4
apple_1636572,"@AppleSupport I’m having issues with my Beats EP heapdphones pausing, fast forwarding and skipping tracks when I’m not using the mic",6
apple_2028558,@115858 Fix this now! “A ?”,5
apple_1641918,"@115858, what’s with the I️ issue???",10
apple_1010549,@AppleSupport :neues iPhone 8 / 11.0.3 BT  funktioniert nicht😡 weder Auto-Freisprecheinrichtung (AUDI) noch POLAR-Firnessuhr verbindet? Wtf,0
apple_2000689,"@AppleSupport hi there, my iPad seems to think it's 1970??",3
apple_1701600,"Hey @118936 @115858 @AppleSupport Nice clunky podcast format you created. Also, it won’t allow me to download anything. My wifi is fine.",6
apple_2261546,I did the update and I’m still seeing the boxes @AppleSupport,5
apple_1558153,@115858 @AppleSupport why does my update turn my I️ into this crap,1
apple_156014,"Dear @AppleSupport and @115858  when are you planning on fixing your horribly planned iOS that you just HAD to roll out before it was ready. 👉🏻 I  👈🏻would love to be able to use ALL of the letters on my keyboard that I paid $1,000 to use. 

Sincerely-
“Every iPhone owner”",7
apple_2492307,"@AppleSupport We should be a on a first name basis by now. Another update, another issue.  Updated to 11.1.1 &amp; my battery life on my iPhone 7 Plus is atrocious!  Is there a fix?? I already re-read your article on battery life...",11
apple_1597319,"Hilfe: Apple TV 2 verlangt Code—Eingabe auf anderen Device. Zahlen kommen, aber kein Eingabefeld. Kennt jemand das Problem? @AppleSupport",0
apple_1920060,Why does this happen on High Sierra? Anyone having same issue? https://t.co/XZLQC3lyzf,3
apple_493513,@AppleSupport Can u please tell some tips to save battery life on the long run. #BatteryTips,11
apple_1615434,Yo @AppleSupport my iPhone has an “i” problemo https://t.co/DDrlLMy0UH,10
apple_1888381,@115858 this is literally the worst update ever my phone is so glitchy and my battery doesn’t even last a few hours. Fix your shit.,1
apple_1781276,"Not sure why the fuck my iPhone is tweaking, freezing, and battery dying minutes after it comes off the charger? @115858 @AppleSupport",11
apple_1976289,@116333 Apple Watch burnt my wrist 😐,3
apple_1776342,@AppleSupport is there a time frame on fixing this “I️” issue?,10
apple_2572063,@AppleSupport why my iphone 6s plus keybord desepear should i factory reset it?,7
apple_1712449,"@115948 @AppleSupport why when I create playlists nothing saves? I put it in order and it doesn’t save, and songs just disappear. Ffs",6
apple_257769,@115858 @AppleSupport I've been waiting over a week for my order which was supposed to be next day delivery... #pleasehelp #nomoreholdmusic,8
apple_1646216,I️ do not understand why this keeps happening on Snapchat @AppleSupport why does the letter I️ keep auto correcting to this? https://t.co/T6uPXsAojc,10
apple_1343609,"@AppleSupport I am trying to ""report a problem"" with an unauthorized app purchase, but cannot sign it. Keeps bouncing me back to the login https://t.co/omMR4hxqlT",8
apple_1522635,I️ updated my phone and still see them question marks ... what’s tea @AppleSupport ?,5
apple_1709228,@115858 you need to fix this fucking bullshit of not being able to type “I” without it looking like this “I️”.....you suck.,10
apple_1752301,@AppleSupport Updated to 11.1 and my iPhone is still unresponsive. Please contact me.,4
apple_242612,@AppleSupport song previews aren’t playing on ITunes Store on my computer or iPhone. They just buffer forever and nothing happens.,6
apple_1988783,i screenshot on facetime and it didn’t save ? @AppleSupport,3
apple_121563,"@AppleSupport hi, could you explain what’s happening to my ipad? and how do i fix this issue? thankyou. https://t.co/Jqny28glGm",3
apple_2207717,My phone shouldn’t be running this slow and one of y’all going to fix it or I’m switching companies @AppleSupport @ATT,9
apple_2128172,I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ I️ @115858 the fuck is this?,10
apple_1018114,Since #iOS11 my notifications have been messed up. Can you sort it out please @115858,4
apple_125020,"@AppleSupport hi there, I sent an iTunes gift for my friend. This morning he lost it with no reason and can’t find it anywhere. Please help.",6
apple_1288243,Thanks @115858 really helpful to type anything without the option to turn on the keyboard backlight on lockscreen at the #MacbookPro https://t.co/KR3l2uMWNH,3
apple_1875419,@AppleSupport my phone keeps freezing with newest iOS update!,1
apple_2775943,"@AppleSupport how do I get the functionality to actually turn off Wi-Fi or Bluetooth in Control Center? The new functionality is a bad design. Misleading, insecure, and a battery burner.",3
apple_1918547,"@AppleSupport  Still waiting for bug fix on iOS 11.0.3! @116333 SHAME on you! What would Steve say,about iPhone 8, iPhone X and iOS 11 ???",4
apple_2118352,"@AppleSupport fix the I️ issue! You guys mess up, you fix it.",5
apple_1103707,"@AppleSupport iMessage on my Mac hasn't been working all day. Says my status is ""offline"" and when I try to change it it won't let me.",3
apple_1448100,Hey @AppleSupport this is really annoying. https://t.co/LF96QPJL9o,2
apple_1930498,@AppleSupport other than reset or lets get you a new phone .,9
apple_1889342,Nothing but iPhone issues since the last two apple iso software updates @AppleSupport 😠,1
apple_1539270,@AppleSupport hi there just wondering if I backed up my apps on iCloud will they appear on my new iPhone x or do I need to re-download?,8
apple_1106481,@115858 I just updated my phone. What is wrong with Siri? Give me my old Siri back. New Siri can’t answer anything https://t.co/K1jz10IJ3q,1
apple_1989897,Look @115858 I️ NEED YOU TO FIX THIS!   #apple #iphone https://t.co/3pq0sTXBff,7
apple_2369456,@AppleSupport my MacBook is stuck on this screen after failing to install the new macOS update. Restarting the MacBook only brings it back to this after failing to install. https://t.co/2gPffKz6S3,3
apple_2138821,Soo.. did @115858 replace an emoji? Because I never updated for the new emojis🤷🏽‍♂️ https://t.co/SEMxhmWpH9,5
apple_2532856,@AppleSupport Why does the iPhone 8 continue to rotate with the orientation lock on????,7
apple_2309041,"@AppleSupport  this doesn’t look right, does it? https://t.co/8glqeKwPcZ",2
apple_2013931,@AppleSupport can you fix these I️ that are turning to question marks? For reals,5
apple_2752673,"well after a couple hours effort to upload the update to itunes, it failed with an error message because of it needed an icon in another spot in the project.Thanks @115858.",6
apple_619464,"@AppleSupport iOS is the worst update i have ever experienced. 11.1.2 and I still experience frustrating bugs: random slowdonws, app crashing, random reboot, freezes...",4
apple_1185293,"@AppleSupport my iPhone 8 plus crashes and restarting itself, I updated to ios 11.0.3 but got stuck so i had to restore it through itunes",4
apple_2837277,@AppleSupport do I need an appointment to see about why my phone won’t register my bank details won’t let me update apps or nothing??,8
apple_696500,@AppleSupport some amount of photos constantly disappear after I log out my iCloud account. How can I find them again?..,3
apple_1969604,@115858 why did the most recent updates to my iPhone 6 Plus delete most of my contacts and slowed down my phone/ freezes and I have to reboot on a regular basis. Not happy.,1
apple_766224,"Hi @115858, I was recently gifted a new 7+ by a friend from the US. The back camera has just stopped working. Front cam works. Pl advise?",3
apple_633986,"Yo @115858, I do not appreciate that my airpods are now going from full charge to dead on a 5 mile run when I'm 1 month from @11115",11
apple_1368534,@115858 YALL FINNA OWE ME SOME MONEY IF YALL DONT FIX THIS UPDATE IMMEDIATELY I CANT USE MY CAMERA NO MORE OR MY FLASHLIGHT YALL GOT ME FUCKED UP,1
apple_257773,@AppleSupport why does my phone keep restarting on its own???,9
apple_1079145,"Another day, another reset due to ios11 • @AppleSupport",4
apple_1983028,Just casually crying because my phone has a problem and I don't know how to fix it,9
apple_2271742,@AppleSupport my partner needs Apple support help and getting no where online! Can’t arrange a call back as he works within the hours given!!! What can we do??,8
apple_1123197,One year going strong dealing with this crap @115858 https://t.co/snnK6MviAK,2
apple_1634094,"@AppleSupport umm excuse me, why is my “l” being replaced with these ugly question marks.",10
apple_1637164,@AppleSupport why isn’t @118936 accepting my banking information 😩😡 #HELP,8
apple_2427344,Sooooo @115858 does the iOS 11.1.1 fix the question mark in a box situation? Cause I can’t see shit no emojis or letters 🗣🗣🗣,5
